"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"25-Jul-2019","    11290.40","    11361.40","    11239.35","    11252.15","      553676897","        24329.21"
"26-Jul-2019","    11247.45","    11307.60","    11210.05","    11284.30","      522670420","        20350.38"
"29-Jul-2019","    11307.50","    11310.95","    11152.40","    11189.20","      482862376","        18705.92"
"30-Jul-2019","    11213.70","    11267.45","    11072.65","    11085.40","      479059399","        20545.71"
"31-Jul-2019","    11034.05","    11145.30","    10999.40","    11118.00","      536694278","        23681.22"
"01-Aug-2019","    11060.20","    11076.75","    10881.00","    10980.00","      499918953","        21048.32"
"02-Aug-2019","    10930.30","    11080.15","    10848.95","    10997.35","      547416246","        23972.04"
"05-Aug-2019","    10895.80","    10895.80","    10782.60","    10862.60","      506556609","        20824.10"
"06-Aug-2019","    10815.40","    11018.55","    10813.80","    10948.25","      517891491","        21676.40"
"07-Aug-2019","    10958.10","    10975.65","    10835.90","    10855.50","      548465787","        21228.28"
"08-Aug-2019","    10899.20","    11058.05","    10842.95","    11032.45","      482471622","        20667.60"
"09-Aug-2019","    11087.90","    11181.45","    11062.80","    11109.65","      538063563","        21092.05"
"13-Aug-2019","    11139.40","    11145.90","    10901.60","    10925.85","      624634647","        24790.67"
"14-Aug-2019","    11003.25","    11078.15","    10935.60","    11029.40","      511541716","        19712.81"
"16-Aug-2019","    11043.65","    11068.65","    10924.30","    11047.80","      470909918","        19281.91"
"19-Aug-2019","    11094.80","    11146.90","    11037.85","    11053.90","      369493161","        14120.35"
"20-Aug-2019","    11063.90","    11076.30","    10985.30","    11017.00","      444715679","        16915.96"
"21-Aug-2019","    11018.15","    11034.20","    10906.65","    10918.70","      557867906","        16747.99"
"22-Aug-2019","    10905.30","    10908.25","    10718.30","    10741.35","      668193449","        18764.38"
"23-Aug-2019","    10699.60","    10862.55","    10637.15","    10829.35","      667079625","        20983.75"
"26-Aug-2019","    11000.30","    11070.30","    10756.55","    11057.85","      684141923","        22375.99"
"27-Aug-2019","    11106.55","    11141.75","    11049.50","    11105.35","      685551267","        27413.16"
"28-Aug-2019","    11101.30","    11129.65","    10987.65","    11046.10","      549954696","        16739.43"
"29-Aug-2019","    10996.05","    11021.10","    10922.40","    10948.30","      649876160","        20127.77"
"30-Aug-2019","    10987.80","    11042.60","    10874.80","    11023.25","      628154431","        21057.31"
"03-Sep-2019","    10960.95","    10967.50","    10772.70","    10797.90","      483038985","        16595.60"
"04-Sep-2019","    10790.40","    10858.75","    10746.35","    10844.65","      508784352","        19195.10"
"05-Sep-2019","    10860.95","    10920.10","    10816.00","    10847.90","      595699267","        18279.88"
"06-Sep-2019","    10883.80","    10957.05","    10867.45","    10946.20","      497214445","        18167.78"
"09-Sep-2019","    10936.70","    11028.85","    10889.80","    11003.05","      412471067","        14762.07"
"11-Sep-2019","    11028.50","    11054.80","    11011.65","    11035.70","      687140326","        19550.59"
"12-Sep-2019","    11058.30","    11081.75","    10964.95","    10982.80","      551436050","        17510.17"
"13-Sep-2019","    10986.80","    11084.45","    10945.75","    11075.90","      624305151","        18012.76"
